supplier_id,product_id,seller_name,seller_email,seller_address,seller_city,seller_postcode,seller_phone,registration_date
01045g,11284c,Nanny Ruller,nruller0@newyorker.com,32685 Carpenter Place,Edinburgh,D31 4FH,07134862854,11/17/2020
50086v,63922g,Emmaline Khosa,ekhosa1@yahoo.co.jp,4 Sunbrook Lane,Liverpool,QR 3YJ,07060233777,9/26/2018
00337e,27449d,Olive Cerro,ocerro2@pagesperso-orange.fr,77 Ridge Oak Park,Manchester,QER 3JJ,07640304033,5/4/2000
22113y,59934q,Carmencita Bruckman,cbruckman3@google.com,321 Pierstorff Circle,Cardiff,YP95 1VN,07211584519,8/13/2009
57990d,15072j,Andy Bly,ably4@slideshare.net,5 Bluestem Circle,Manchester,I24 8BT,07707970818,9/30/2004
96638u,25056v,Anabelle Tomaszek,atomaszek5@ibm.com,46480 Claremont Place,London,LR 6YA,07223191510,7/10/2019
07698y,07531r,Jeff Kundt,jkundt6@zimbio.com,5148 Havey Junction,Sheffield,MW5P 8KX,07119852569,6/11/2008
68102l,41514i,Desirae Morey,dmorey7@instagram.com,9470 Cambridge Junction,Birmingham,KJRP 9LI,07034424760,5/22/2013
82177n,64715g,Elenore Goudy,egoudy8@delicious.com,69278 Claremont Park,Sheffield,GG2G 8XY,07867205790,12/19/2001
82371r,18573y,Fran Bigley,fbigley9@jugem.jp,40866 Amoth Pass,Edinburgh,OPR3 0QH,07046088631,1/23/2011
04613p,85675i,Sashenka Arnefield,sarnefielda@canalblog.com,83 Sachtjen Circle,Edinburgh,TPR4 4UR,07089257130,2/9/2011
28851l,49828q,Paddy MacRedmond,pmacredmondb@rambler.ru,80 Namekagon Place,Leeds,F43 6RS,07639731540,12/13/2018
38526q,39493h,Wood Dukes,wdukesc@tripadvisor.com,6 Wayridge Trail,Birmingham,SR 2BU,07264359903,12/22/2018
09659b,86038e,Wolfy Dudny,wdudnyd@digg.com,7 Lyons Circle,Edinburgh,YIR9 5VX,07750675845,1/1/2007
83093a,27771p,Austin Orbell,aorbelle@usda.gov,88123 Shasta Way,Birmingham,RR0 2SY,07526611199,12/21/2011
60719m,98347h,Alair Nairne,anairnef@sogou.com,6 Hudson Alley,Cardiff,JZ7 3AM,07318655889,11/9/2016
13192z,77877a,Katinka Pogosian,kpogosiang@rediff.com,094 Algoma Road,Liverpool,MX4 2KM,07325867882,10/7/2002
39071h,14921t,Minne Bettis,mbettish@google.com.br,227 Rigney Trail,London,CR 1TR,07801781394,11/14/2018
66313j,98503e,Norbert Shelmerdine,nshelmerdinei@salon.com,2 Cordelia Parkway,Bristol,C3 0IF,07079806282,2/22/2006
39923w,03423p,Mead Constanza,mconstanzaj@loc.gov,64840 Bluestem Center,Bristol,MU36 7BV,07964518173,8/15/2014
19836e,59106x,Sherman Lambie,slambiek@cnn.com,82558 Fairfield Center,Liverpool,W7 0EV,07689892241,7/31/2020
14731i,94921w,Joelle Angric,jangricl@over-blog.com,16459 Independence Park,Sheffield,PR 0TF,07969094678,11/6/2007
50061k,54775m,Tiphany Rickards,trickardsm@loc.gov,1 Meadow Vale Alley,Edinburgh,NT8 5AC,07632097907,10/4/2011
62437o,31984p,Granger Goldstraw,ggoldstrawn@si.edu,89089 Prairie Rose Drive,Leeds,HRB 7EP,07942277654,2/19/2012
03773l,84118z,Wolfgang Warboys,wwarboyso@purevolume.com,57 Anderson Lane,Edinburgh,VD32 3WE,07380203327,7/11/2008
88965e,83996l,Marinna Pullinger,mpullingerp@imdb.com,5432 Esker Pass,Manchester,TR 0FE,07935202175,12/8/2001
09222r,74559m,Germana Feldbaum,gfeldbaumq@furl.net,7986 Novick Lane,Leeds,J6 9HV,07081114235,11/7/2020
81732z,76419y,Lyndell Ingerfield,lingerfieldr@infoseek.co.jp,90 Messerschmidt Avenue,Cardiff,KRG 6CA,07579163900,1/20/2001
50378w,97158s,Christal Champain,cchampains@mac.com,36555 Fuller Point,London,ID9 7ZV,07266344400,1/16/2013
84135e,76842f,Ardenia Munkley,amunkleyt@vimeo.com,47 Walton Pass,Glasgow,T3 1DC,07807523251,8/6/2003
52673d,43031f,Onfre Shepley,oshepleyu@topsy.com,8 Old Gate Alley,Glasgow,S6 7WX,07546888967,10/29/2004
41790d,60031x,Larissa Thomelin,lthomelinv@seattletimes.com,14090 School Drive,Cardiff,ARRV 4XG,07718606388,11/3/2002
95549e,88109p,Reginauld Chamberlayne,rchamberlaynew@altervista.org,4401 Portage Lane,Glasgow,FB4 7WG,07978659733,5/23/2004
07131c,40284x,Lars Carreyette,lcarreyettex@yale.edu,0 Delaware Crossing,Liverpool,IMRP 4RE,07888118453,10/24/2012
37901o,54950a,Valentine Skitch,vskitchy@desdev.cn,13302 Moulton Plaza,Cardiff,AG2Q 5YU,07976052265,5/22/2004
